Timestamp;NodeId;NodeType;EventType;Event;CompletionTime;Running_WT;Running_NT;Storage;MAX_Storage;RAM;MAX_RAM
1580828732;00001;2;0;WaitTask_Create Created;0;0;0;0;1000000;0;1000
1580828732;00002;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00003;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00004;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00005;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00006;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00007;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00008;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00009;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00010;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00011;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00012;2;0;WaitTask_Create Created;0;0;0;0;1000000;0;1000
1580828732;00013;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00014;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00015;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00016;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00017;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00018;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00019;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00020;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00021;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00022;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00023;2;0;WaitTask_Create Created;0;0;0;0;1000000;0;1000
1580828732;00024;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00025;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00026;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00027;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00028;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00029;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00030;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00031;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00032;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00033;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00034;2;0;WaitTask_Create Created;0;0;0;0;1000000;0;1000
1580828732;00035;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00036;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00037;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00038;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00039;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00040;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00041;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00042;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00043;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00044;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00045;2;0;WaitTask_Create Created;0;0;0;0;1000000;0;1000
1580828732;00046;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00047;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00048;1;3;Cycle create ended in Step 0;0;0;0;0;500000;0;100
1580828732;00048;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00049;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00050;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00051;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00052;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00053;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00054;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00055;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00056;2;0;WaitTask_Create Created;0;0;0;0;1000000;0;1000
1580828732;00057;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00058;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00059;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00060;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00061;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00062;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00063;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00064;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00065;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00066;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00067;2;0;WaitTask_Create Created;0;0;0;0;1000000;0;1000
1580828732;00068;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00069;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
1580828732;00070;1;0;WaitTask_Create Created;0;0;0;0;500000;0;100
